model,batch_size,seq_len,op_name,shape,count
fasterrcnn,1,,aten::add,"[[0, 91], [0, 1], []]",100
fasterrcnn,1,,aten::add,"[[0, 91], [0, 91], []]",100
fasterrcnn,1,,aten::add,"[[0], [0], []]",100
fasterrcnn,1,,aten::add,"[[0], [], []]",100
fasterrcnn,1,,aten::add,"[[1, 1000], [], []]",200
fasterrcnn,1,,aten::add,"[[1, 1024, 1, 1], [], []]",350
fasterrcnn,1,,aten::add,"[[1, 1024, 50, 50], [1, 1024, 1, 1], []]",350
fasterrcnn,1,,aten::add,"[[1, 128, 1, 1], [], []]",400
fasterrcnn,1,,aten::add,"[[1, 128, 100, 100], [1, 128, 1, 1], []]",350
fasterrcnn,1,,aten::add,"[[1, 128, 200, 200], [1, 128, 1, 1], []]",50
fasterrcnn,1,,aten::add,"[[1, 2048, 1, 1], [], []]",200
fasterrcnn,1,,aten::add,"[[1, 2048, 25, 25], [1, 2048, 1, 1], []]",200
fasterrcnn,1,,aten::add,"[[1, 256, 1, 1], [], []]",800
fasterrcnn,1,,aten::add,"[[1, 256, 100, 100], [1, 256, 1, 1], []]",50
fasterrcnn,1,,aten::add,"[[1, 256, 100, 100], [1, 256, 100, 100], []]",50
fasterrcnn,1,,aten::add,"[[1, 256, 200, 200], [1, 256, 1, 1], []]",200
fasterrcnn,1,,aten::add,"[[1, 256, 200, 200], [1, 256, 200, 200], []]",50
fasterrcnn,1,,aten::add,"[[1, 256, 50, 50], [1, 256, 1, 1], []]",550
fasterrcnn,1,,aten::add,"[[1, 256, 50, 50], [1, 256, 50, 50], []]",50
fasterrcnn,1,,aten::add,"[[1, 507], [], []]",50
fasterrcnn,1,,aten::add,"[[1, 512, 1, 1], [], []]",550
fasterrcnn,1,,aten::add,"[[1, 512, 100, 100], [1, 512, 1, 1], []]",250
fasterrcnn,1,,aten::add,"[[1, 512, 25, 25], [1, 512, 1, 1], []]",250
fasterrcnn,1,,aten::add,"[[1, 512, 50, 50], [1, 512, 1, 1], []]",50
fasterrcnn,1,,aten::add,"[[1, 64, 1, 1], [], []]",350
fasterrcnn,1,,aten::add,"[[1, 64, 200, 200], [1, 64, 1, 1], []]",300
